cat,pid,p_name,cpu,disk,ram,bandwidth,bps,price,period,aff,create_time,update_time
Black Friday 2024,887,RESELLER - 60 GB (Available in Multiple Locations),,60 GB,,,,31.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=887,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,888,RESELLER - 100 GB (Available in Multiple Locations),,100 GB,,,,57.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=888,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,889,RESELLER - 160 GB (Available in Multiple Locations),,160 GB,,,,86.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=889,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,890,DEDICATED - Intel Xeon E3-1240 V3 SSD,,32 GB,32 GB,,1Gbps,59.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=890,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,891,DEDICATED - Dual Intel Xeon E5-2620 V2,,64 GB,64 GB,,,99.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=891,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,892,"DEDICATED - Dual Intel Xeon E5-2690 V4 NVMe

                                            0 Available",,2 TB,128 GB,,,155.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=892,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,893,DEDICATED - Dual Intel Xeon E5-2630 V3 Storage,,,128 GB,,,199.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=893,2024-11-18 21:32:59,2025-05-18 14:36:14
Black Friday 2024,894,DEDICATED - SEO Server Special 249 IPs,,16 GB,16 GB,,1Gbps,139.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=894,2024-11-18 21:32:59,2025-05-18 14:36:14
New Year 2025,903,1 GB KVM VPS (New Year 2025),1 vCPU Core,24 GB,1 GB,2000GB,1Gbps,11.29,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=903,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,904,2 GB KVM VPS (New Year 2025),1 vCPU Core,40 GB,2 GB,3500GB,1Gbps,18.29,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=904,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,905,3.5 GB KVM VPS (New Year 2025),2 vCPU Cores,65 GB,3.5 GB,7000GB,1Gbps,32.49,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=905,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,906,4 GB KVM VPS (New Year 2025),3 vCPU Cores,105 GB,4 GB,9000GB,1Gbps,43.88,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=906,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,907,6 GB KVM VPS (New Year 2025),4 vCPU Cores,140 GB,6 GB,"12,000GB",1Gbps,59.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=907,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,908,DEDICATED - Intel Xeon E3-1240 V3 (1 TB SSD + 3 TB HDD),,32 GB,32 GB,,1Gbps,64.95,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=908,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,909,DEDICATED - AMD Ryzen 7600 (1TB NVMe),,64 GB,64 GB,,1Gbps,109.95,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=909,2024-12-23 21:30:41,2025-05-18 14:36:14
New Year 2025,910,DEDICATED - Dual Intel Xeon E5-2683 v4 (2x 2 TB SSD),,256 GB,256 GB,,1Gbps,209.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=910,2024-12-23 21:30:41,2025-05-18 14:36:14
KVM VPS - Latest Special Promos!,912,1 GB KVM VPS Special Deal,1 vCPU Core,20 GB,1 GB,2000GB,1Gbps,10.96,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=912,2025-05-14 21:29:49,2025-05-18 14:36:14
KVM VPS - Latest Special Promos!,913,2 GB KVM VPS Special Deal,2 vCPU Cores,30 GB,2 GB,4000GB,1Gbps,17.66,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=913,2025-05-14 21:29:49,2025-05-18 14:36:14
KVM VPS - Latest Special Promos!,914,3.5 GB KVM VPS Special Deal,3 vCPU Cores,60 GB,3.5 GB,5000GB,1Gbps,29.89,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=914,2025-05-14 21:29:49,2025-05-18 14:36:14
KVM VPS - Latest Special Promos!,915,5 GB KVM VPS Special Deal,4 vCPU Cores,100 GB,5 GB,"10,000GB",1Gbps,54.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=915,2025-05-14 21:29:49,2025-05-18 14:36:14
